refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,23.995,4.96524,0
VCOMP0,VCOMP0-1,0,-4.96524,0
VCOMP3,VCOMP3-0,4.95824,4.02143,0.006
VCOMP3,VCOMP3-1,4.9585,3.97857,0.006
VCOMP3,VCOMP3-2,0.00578096,-2.56804,0.006
VCOMP3,VCOMP3-3,0.00648978,-2.68617,0.006
VCOMP3,VCOMP3-4,0.00684745,-2.74579,0.006
VCOMP5,VCOMP5-0,16.9961,1.65,0.00333333
VCOMP5,VCOMP5-1,0.00610011,-0.867767,0.00333333
VCOMP5,VCOMP5-2,0.00581501,-0.782234,0.00333333
VCOMP1,VCOMP1-0,4.83658,-8,0.0125
VCOMP1,VCOMP1-1,0.017172,8,0.0125
VCOMP2,VCOMP2-0,16.9672,-1.65,0.0606061
VCOMP2,VCOMP2-1,0.0142489,1.65,0.0606061
VCOMP4,VCOMP4-0,23.8664,-3.72535,0.0402647
VCOMP4,VCOMP4-1,0.00578096,1.25648,0.0402647
VCOMP4,VCOMP4-2,0.00648978,1.23888,0.0402647
VCOMP4,VCOMP4-3,0.00684745,1.22999,0.0402647
VCOMP6,VCOMP6-0,23.8692,-1.23989,0.107536
VCOMP6,VCOMP6-1,0.00610011,0.618622,0.107536
VCOMP6,VCOMP6-2,0.00581501,0.621273,0.107536
VCOMP7,VCOMP7-0,23.9708,-4.96524,0.00565
VCOMP7,VCOMP7-1,23.9147,4.96524,0.00565
VCOMP8,VCOMP8-0,23.8991,-4.96524,0.002525
VCOMP8,VCOMP8-1,23.874,4.96524,0.002525
VCOMP9,VCOMP9-0,23.8706,-3.72535,7.8e-05
VCOMP9,VCOMP9-1,23.87,3.72535,7.8e-05
VCOMP10,VCOMP10-0,4.95169,-8,0.0065
VCOMP10,VCOMP10-1,4.84768,8,0.0065
VCOMP11,VCOMP11-0,16.9917,-1.65,0.0065
VCOMP11,VCOMP11-1,16.9703,1.65,0.0065
